Hotel; URL; Adresse; Note; Image
Hotel Jazz;http://www.tripadvisor.fr/Hotel_Review-g187497-d296916-Reviews-Hotel_Jazz-Barcelona_Catalonia.html;Pelai 3, 08001 Barcelone, Espagne ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/3a/58/67/hotel-jazz-barcelona.jpg;
Hotel Curious;http://www.tripadvisor.fr/Hotel_Review-g187497-d1022712-Reviews-Hotel_Curious-Barcelona_Catalonia.html;C/ Carrer Carme, 25, 08001  Barcelone, Espagne ;1.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/2f/ab/62/hotel-curious.jpg;
Hesperia Tower;http://www.tripadvisor.fr/Hotel_Review-g187497-d630596-Reviews-Hesperia_Tower-Barcelona_Catalonia.html;Gran Via, 144 | Hospitalet de Llobregat, 08907 Barcelone, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/0a/72/96/hesperia-tower.jpg;
Hotel Acta Mimic;http://www.tripadvisor.fr/Hotel_Review-g187497-d1802185-Reviews-Hotel_Acta_Mimic-Barcelona_Catalonia.html;C/ Arc del Teatre 58, 08001 Barcelone, Espagne ;2.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/89/fa/d4/hallways--v1647573-15.jpg;
Gran Hotel Princesa Sofia;http://www.tripadvisor.fr/Hotel_Review-g187497-d242975-Reviews-Gran_Hotel_Princesa_Sofia-Barcelona_Catalonia.html;Plaza Pio XII 4, 08028 Barcelone, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/05/ad/a8/f9/building-exterior.jpg;
AC Hotel Barcelona Forum by Marriott;http://www.tripadvisor.fr/Hotel_Review-g187497-d501108-Reviews-AC_Hotel_Barcelona_Forum_by_Marriott-Barcelona_Catalonia.html;Paseo Taulat 278, 08019 Barcelone, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/01/82/2b/8c/hotel-ac-barcelona.jpg;
Hotel Constanza Barcelona;http://www.tripadvisor.fr/Hotel_Review-g187497-d503136-Reviews-Hotel_Constanza_Barcelona-Barcelona_Catalonia.html;Calle Bruc 33, 08010 Barcelone, Espagne ;2.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/8a/82/56/lobby--v1650191-22.jpg;
Soho Hotel;http://www.tripadvisor.fr/Hotel_Review-g187497-d619681-Reviews-Soho_Hotel-Barcelona_Catalonia.html;Gran Via 543-545, 08011 Barcelone, Espagne ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/04/10/11/e1/soho-hotel.jpg;
Casa Camper Hotel Barcelona;http://www.tripadvisor.fr/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html;Carrer Elisabets 11, 08001 Barcelone, Espagne ;4.0 sur 5;
Alma Barcelona;http://www.tripadvisor.fr/Hotel_Review-g187497-d2102457-Reviews-Alma_Barcelona-Barcelona_Catalonia.html;Mallorca 271, 08008 Barcelone, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/02/3d/ac/24/reception.jpg;
